abada aβ̞að̞ɐ
pez peθ
guerra ɡɛrɐ
numeral nũmeɾɑɫ
sela sɛlɐ
menos menʊs
menos menʊs
robot roβ̞ɔt̪
trade t̪ɾað̞ɪ
país pais̺
presidente pɾes̺ið̞en̪t̪ɪ
tigre t̪iɣ̞ɾɪ
tempo t̪empʊ
abandono aβ̞an̪d̪onʊ
can kɑŋ
can kɑŋ
can kɑŋ
estadounidense es̺t̪að̞ownið̞ens̺ɪ
color koloɾ
mundo mũn̪d̪ʊ
banana banãnɐ
mi mi
lama lamɐ
animal anĩmɑɫ
bosque bɔs̺kɪ
grito ɡɾit̪ʊ
aceite aθejt̪ɪ
mosquito mos̺kit̪ʊ
grupo ɡɾupʊ
voz bɔθ
sol s̺oɫ
sol s̺oɫ
sol s̺ɔɫ
familia familjɐ
salsa salsɐ
gripe ɡɾipɪ
sangría s̺ɑŋɡɾiɐ
chocolate t͡ʃokolatɪ
granada ɡɾanað̞ɐ
remonta remontɐ
pico pikʊ
matanza mat̪an̪θɐ
burro burʊ
son s̺oŋ
viña biɲa̝
pato pat̪ʊ
gallo ɡɑɟʊ
torta t̪ɔɾt̪ɐ
día d̪iɐ
pizza pit̪s̺ɐ
luz luθ
español es̺paɲɔɫ
rata ratɐ
pata pat̪ɐ
pata pat̪ɐ
ben bɛŋ
vapor bapoɾ
axe aʃɪ
cable kɑβ̞lɪ
actor ɑkt̪oɾ
funeral funeɾɑɫ
parasol paɾas̺oɫ
limo limʊ
ideal ið̞ɛɑɫ
criminal kɾimĩnɑɫ
varón baɾoŋ
pos pɔs̺
barón baɾoŋ
mal mɑɫ
mal mɑɫ
sal s̺al
sábado s̺aβ̞að̞ʊ
ano anʊ
ano anʊ
hospital ɔs̺pit̪ɑɫ
manga maŋɡɐ
manga maŋɡɐ
manga maŋɡɐ
e ɛ
home ɔmɪ
corazón koɾaθoŋ
millón miɟoŋ
música musikɐ
flor floɾ
libro liβ̞ɾʊ
tulipán t̪ulipɑŋ
cor koɾ
cor kɔɾ
cor kɔɾ
bicicleta biθiklet̪ɐ
casa kɑs̺ɐ
uva uβ̞ɐ
con kɔŋ
natural nat̪uɾɑɫ
natural nat̪uɾɑɫ
cesta θes̺t̪ɐ
café kɑfɛ
fe fɛ
argon aɾɣ̞oŋ
acción ɑkθjoŋ
escudo es̺kuð̞ʊ
escudo es̺kuð̞ʊ
pálpebra pɑlpeβ̞ɾɐ
información iɱfoɾmaθjoŋ
democracia d̪emokɾaθjɐ
po pɔː
lava laβ̞ɐ
pa paː
ar aɾ
ola olɐ
negro neɣ̞ɾʊ
la la
la laː
tau t̪ɑw
estado es̺t̪að̞ʊ
agua ɑɣ̞wɐ
forte fɔɾt̪ɪ
té t̪ɛ
baba baβɐ
real reɑɫ
saber s̺aβ̞eɾ
vinco biŋkʊ
ser s̺eɾ
libra liβɾɐ
libra liβɾɐ
serra s̺ɛrɐ
serra s̺ɛrɐ
lagarto laɣaɾto̝
porto poɾt̪ʊ
falar falaɾ
nós nɔs̺
rego reɣʊ
verme bɛɾmɪ
arma aɾmɐ
zona θonɐ
ladro laðɾʊ
ladro laðɾʊ
rosa rɔs̺ɐ
pluma plumɐ
corda kɔɾðɐ
cantar kɑntaɾ
lingua liŋɡwɐ
mango maŋɡʊ
marzo maɾθʊ
lago lɑɣ̞ʊ
elefante elefan̪t̪ɪ
historia is̺t̪ɔɾjɐ
alma ɑlmɐ
