abactor ɐbɐktoɾ
abada ɐbadɐ
abatis ɐbɐtiʃ
livre livɾɨ
raptor ʁaptoɾ
raptor ʁaptoɾ
thesaurus tɨzawɾuʃ
abuna ɐbunɐ
frei fɾɐj
lente lẽtɨ
lente lẽtɨ
FAQ fak
abdominal ɐbduminal
pez peʃ
quiz kwizɨ
tesauro tɨzawɾu
crude kɾudɨ
perro peʁu
AL a ɛlɨ
centavo sẽtavu
maquiladora mɐkilɐdoɾɐ
andante ɐ̃dɐ̃tɨ
andante ɐ̃dɐ̃tɨ
LED lɛdɨ
guerra ɡɛʁɐ
plural pluɾal
DVD de ve de
metadata ˌmɛtɐdatɐ
numeral numɨɾal
avatar avataɾ
mundial mũdjal
deficit dɛfisit
menos menuʃ
fiscal fiʃkal
robot ʁɔbo
euro ewɾɔ
are aɾɨ
meeting mitĩɡ
país pɐiʃ
chuva ˌɡwaɾdɐʃuvɐ
sombrinha sõbɾiɲɐ
alien aljɛn
chuva ʃuvɐ
digital diʒital
van van
singular sĩɡulaɾ
amigo ɐmiɡu
CDC se de se
offset ˌɔfizɛt
software sɔftwɛɾ
os ɔʃ
abate ɐbatɨ
um ũ
presidente pɾɨzidẽtɨ
HIV ɐɡa i ve
is iʃ
tigre tiɡɾɨ
radar ʁadaɾ
tuba tubɐ
perpendicular pɨɾpẽdikulaɾ
humor umoɾ
magenta mɐʒẽtɐ
anoa ɐnoɐ
football futbol
guanaco ɡwɐnaku
bit bitɨ
regime ʁɨʒimɨ
musical muzikal
alpaca alpakɐ
alpaca alpakɐ
abandono ɐbɐ̃donu
amontillado ɐmõtiʎadu
kiwi kiwi
cachaça kɐʃasɐ
caipirinha kajpiɾiɲɐ
caipirinha kajpiɾiɲɐ
general ʒɨnɨɾal
general ʒɨnɨɾal
zebra zebɾɐ
close klozɨ
wiki wiki
time timɨ
habitat abitɐt
xerox ʃɛɾɔks
iceberg ˌajsɨbɛɾɡɨ
banana bɐnɐnɐ
banana bɐnɐnɐ
i i
for fɔɾ
mi mi
boom bũ
pi pi
caracal kɐɾɐkal
after aftɛɾ
stand stɐ̃dɨ
drink dɾĩk
update ɐpdɐjt
sequoia sɨkwɔjɐ
lama lɐmɐ
lama lɐmɐ
lama lɐmɐ
hobby ɔbi
animal ɐnimal
adelo ɐdɛlu
tutu tutu
cool ku
alegria ɐlɨɡɾiɐ
alim ɐlĩ
balido bɐlidu
anu ɐnu
bosque bɔʃkɨ
carne kaɾnɨ
diesel dizɛl
amiga ɐmiɡɐ
mosquito muʃkitu
barato bɐɾatu
voz vɔʃ
IA ia
marina mɐɾinɐ
ventana vẽtɐnɐ
ventana vẽtɐnɐ
hamster ɐmstɛɾ
sol sɔl
sol sɔl
sol sɔl
civil sivil
salsa salsɐ
salsa salsɐ
gripe ɡɾipɨ
mariposa mɐɾipɔzɐ
bronze bɾõzɨ
night najtɨ
juiz ʒujʃ
chocolate ʃukulatɨ
granada ɡɾɐnadɐ
coral kuɾal
coral kuɾal
coral kuɾal
juramento ʒuɾɐmẽtu
burro buʁu
burro buʁu
magia mɐʒiɐ
humo umu
acre akɾɨ
oral ɔɾal
boy bɔj
boy boj
matador mɐtɐdoɾ
saia sajɐ
negociante nɨɡusjɐ̃tɨ
zoom zum
torta tɔɾtɐ
pizza pizɐ
luz luʃ
rato ʁatu
rato ʁatu
as ɐʃ
pen pɛn
nada nadɐ
molar mulaɾ
dia diɐ
larva laɾvɐ
rata ʁatɐ
came kɐmɨ
ban bɐ̃
liberal libɨɾal
capital kɐpital
capital kɐpital
chat ʃatɨ
vocal vukal
vapor vɐpoɾ
feed fidɨ
save sɐjvɨ
tear tjaɾ
claque klakɨ
face fasɨ
espanhol (i)ʃpɐɲɔl
OK ˌɔkɐj
exterior (i)ʃtɨɾjoɾ
exterior (i)ʃtɨɾjoɾ
remake ʁimɐjkɨ
led lɛd
look luk
interior ĩtɨɾjoɾ
funeral funɨɾal
bug bɐɡɨ
central sẽtɾal
break bɾɐjkɨ
canal kɐnal
crime kɾimɨ
mama mɐmɐ
make mɐjkɨ
limo limu
altitude altitudɨ
ortoepia ɔɾtwɨpiɐ
boot butɨ
string stɾĩɡ
ideal idjal
chance ʃɐ̃sɨ
shot ʃɔt
hit itɨ
slide slajdɨ
crush kɾɐʃɨ
swing swĩɡ
spin spin
control kõtɾɔl
rumor ʁumoɾ
modem mɔdɛm
show ʃo(w)
strike stɾajkɨ
rim ʁĩ
samurai samuɾaj
bridge bɾid͡ʒɨ
piano pjɐnu
body bɔdi
base bazɨ
romaji ʁumaʒi
plasma plaʒmɐ
cover kovɛɾ
cover kovɛɾ
volume vulumɨ
flat flatɨ
mal mal
sal sal
sal sal
animé animɛ
sensei sẽsɐj
set sɛtɨ
henry ẽʁi
torque tɔɾkɨ
mana mɐnɐ
mana mɐnɐ
sábado sabɐdu
ano ɐnu
bi bi
bi bi
metal mɨtal
metal ˌmɛtɐl
workshop ˌwoɾkɨʃɔpɨ
genitor ʒɨnitoɾ
fog fɔɡi
mole mɔlɨ
mole mɔlɨ
mole mɔlɨ
gourmet ɡuɾme
sake sake
hospital ɔʃpital
errata ɛʁatɐ
anime animɨ
box bɔksɨ
password paswoɾdɨ
agora ɐɡɔɾɐ
domingo dumĩɡu
nadir nadiɾ
instrumental ĩʃtɾumẽtal
menu mɨnu
live lajvɨ
note nowtɨ
short ʃɔɾtɨ
massacre mɐsakɾɨ
stop stɔpɨ
u u
home ɔmɨ
latino lɐtinu
astral ɐʃtɾal
cardinal kɐɾdinal
game ˌvidjɔɡɐjmɨ
andebol ɐ̃dɨbɔl
view viw
rifle ʁiflɨ
hardware ɐɾduɛɾ
nazi nazi
link lĩk
nuance nwɐ̃sɨ
ABC ɐˌbese
quatorze kwɐtoɾzɨ
quinze kĩzɨ
nove nɔvɨ
jaguar ʒaɡwaɾ
esquerda zɛɾu a (i)ʃkeɾdɐ
onze õzɨ
ogre ɔɡɾɨ
dois dojʃ
uno unu
kimono kimonu
árvore aɾvuɾɨ
CD se de
livro livɾu
eclipse eklipsɨ
duo duu
flor floɾ
dino dinu
ni ni
TV tɨve
cor koɾ
cor kɔɾ
pesca pɛʃkɐ
bicicleta bisiklɛtɐ
uva uvɐ
uva uvɐ
lunar lunaɾ
CC ˌsese
lambda lɐ̃bdɐ
xi ʃi
delta dɛltɐ
decibel dɛsibɛl
nick nikɨ
wok wɔk
cesta seʃtɐ
café kɐfɛ
mu mu
mu mu
ação asɐ̃w̃
PC ˌpese
sonar sɔnaɾ
escudo (i)ʃkudu
emu ɛmu
lhama ʎɐmɐ
pálpebra palpɨbɾɐ
dezanove dɨzɐnɔvɨ
coala kualɐ
democracia dɨmukɾɐsiɐ
eu ew
croissant kɾuasɐ̃
pu pu
milkshake ˌmilkɨʃɐjkɨ
chassis ʃasiʃ
chassis ʃasiʃ
resistor ʁɨziʃtoɾ
pager pɐjd͡ʒɛɾ
terminal tɨɾminal
laurel lawɾɛl
labor lɐboɾ
acusado ɐkuzadu
utopia utupiɐ
amargura ɐmɐɾɡuɾɐ
acetal ɐsɨtal
mega mɛɡɐ
mega mɛɡɐ
slogan slo(w)ɡɐn
requiem ʁɛkjɐ̃j̃
rádio ʁadju
rádio ʁadju
rádio ʁadju
rádio ʁadju
ele ɛlɨ
acetileno ɐsɨtilenu
mania mɐniɐ
lava lavɐ
vodka vɔdkɐ
ar aɾ
bagel bɐjɡɐl
