abdominales aβðominales
abada aβaða
aboriginal aβoɾixinal
raptor raβtoɾ
abductor aβðuɣtoɾ
pies pjes
chiapaneco ʧjapaneko
lente lente
abdominal aβðominal
tesauro tesawɾo
perro pero
abdomen aβðomen
gnosis nosis
parole paɾole
maquiladora makilaðoɾa
maquiladora makilaðoɾa
andante andante
andante andante
aria aɾja
aria aɾja
webmaster weβmasteɾ
gobierno ɡoβjeɾno
guerra ɡera
plural pluɾal
DVD deβeðe
numeral numeɾal
derecho deɾeʧo
avatar aβataɾ
mundial mundjal
menos menos
SMS ˌese ˌeme ese
peso peso
pie pje
pie paj
fiscal fiskal
robot roβot
global ɡloβal
euro ewɾo
fa fa
angla aŋɡla
meeting mitin
reality realiti
país pais
deal dil
alien aljen
stock estok
digital dixital
paraguas paɾaɣwas
nomo nomo
pluvia pluβja
van ban
singular siŋɡulaɾ
amigo amiɣo
software softweɾ
hebrea eβɾea
abate aβate
bancario baŋkaɾjo
colon kolon
colon kolon
rape rape
rape rape
hueso w̝eso
chihuahuense ʧiwawense
panista panista
paralipsis paɾaliβsis
yeti ʝeti
presidente pɾesiðente
gag ɡaɣ
tigre tiɣɾe
te te
grey ɡɾej
henna xenna
radar raðaɾ
gas ɡas
open open
de de
router ruteɾ
tuba tuβa
radio raðjo
radio raðjo
radio raðjo
radio raðjo
country kantɾi
tempo tempo
humor umoɾ
magenta maxenta
bot bot
beige bejʃ
anoa anoa
guanaco ɡwanako
bit bit
koala koala
musical musikal
impala impala
poison pojson
alpaca alpaka
green ɡɾin
cast kast
gringo ɡɾiŋɡo
yanqui ʝaŋki
cherry ʧeri
abandono aβandono
amontillado amontiʝaðo
ate ate
can kan
be be
be be
estadounidense esˌtaðowniðense
mikado mikaðo
llama ʝama
llama ʝama
yak ʝak
bongo boŋɡo
color koloɾ
color koloɾ
kiwi kiwi
pariente paɾjente
general xeneɾal
general xeneɾal
wiki wiki
tamale tamale
kerosene keɾosene
mundo mundo
banana banana
mi mi
boom bum
sombrero sombɾeɾo
pi pi
habitual aβitwal
frijoles fɾixoles
caracal kaɾakal
o o
after afteɾ
guacamole ɡwakamole
stand stand
mouse maws
navy nejβi
lama lama
lama lama
lupus lupus
hobby xoβi
animal animal
sepia sepja
abuela aβwela
novio noβjo
novia noβja
pupa pupa
pupa pupa
abuelo aβwelo
beso beso
tortilla toɾtiʝa
finger fiŋɡeɾ
balido baliðo
bosque boske
grito ɡɾito
safari safaɾi
WA wa
red reð
carne kaɾne
amiga amiɣa
mosquito moskito
grupo ɡɾupo
grupo ɡɾupo
ajo axo
ajo axo
marina maɾina
ventana bentana
yes ʝes
avocado aβokaðo
sol sol
sol sol
sol sol
familia familja
salsa salsa
mariquita maɾikita
toros koˌriða ðe toɾos
gripe ɡɾipe
