abdominales aβ̞ð̞ominales
abada aβ̞að̞a
aboriginal aβ̞oɾixinal
raptor raβ̞t̪oɾ
abductor aβ̞ð̞uɣ̞t̪oɾ
pies pjes
chiapaneco t͡ʃjapaneko
lente lẽn̪t̪e
abdominal aβ̞ð̞ominal
tesauro t̪esau̯ɾo
perro pero
abdomen aβ̞ð̞omẽn
gnosis nosis
parole paɾole
maquiladora makilað̞oɾa
maquiladora makilað̞oɾa
andante ãn̪d̪ãn̪t̪e
andante ãn̪d̪ãn̪t̪e
aria aɾja
aria aɾja
webmaster weβ̞mast̪eɾ
gobierno ɡoβ̞jeɾno
guerra ɡera
plural pluɾal
DVD d̪eβ̞eð̞e
numeral numeɾal
derecho d̪eɾet͡ʃo
avatar aβ̞at̪aɾ
mundial mũn̪d̪jal
menos menos
SMS ˌese ˌeme ese
peso peso
pie pje
pie pai̯
fiscal fiskal
robot roβ̞ot̪
global ɡloβ̞al
euro eu̯ɾo
fa fa
angla ãŋɡla
meeting mit̪ĩn
reality realit̪i
país pais
deal d̪il
alien aljẽn
stock est̪ok
digital d̪ixit̪al
paraguas paɾaɣ̞was
nomo nomo
pluvia pluβ̞ja
van bãn
singular sĩŋɡulaɾ
amigo amiɣ̞o
software soft̪weɾ
hebrea eβ̞ɾea
abate aβ̞at̪e
bancario bãŋkaɾjo
colon kolõn
colon kolõn
rape rape
rape rape
hueso w̝eso
chihuahuense t͡ʃiwawẽnse
panista panist̪a
paralipsis paɾaliβ̞sis
yeti ɟ͡ʝet̪i
presidente pɾesið̞ẽn̪t̪e
gag ɡaɣ̞
tigre t̪iɣ̞ɾe
te t̪e
grey ɡɾei̯
henna xẽnna
radar rað̞aɾ
gas ɡas
open opẽn
de d̪e
router rut̪eɾ
tuba t̪uβ̞a
radio rað̞jo
radio rað̞jo
radio rað̞jo
radio rað̞jo
country kãn̪t̪ɾi
tempo t̪ẽmpo
humor umoɾ
magenta maxẽn̪t̪a
bot bot̪
beige bei̯ʃ
anoa anoa
guanaco ɡwanako
bit bit̪
koala koala
musical musikal
impala ĩmpala
poison poi̯sõn
alpaca alpaka
green ɡɾĩn
cast kast̪
gringo ɡɾĩŋɡo
yanqui ɟ͡ʝãŋki
cherry t͡ʃeri
abandono aβ̞ãn̪d̪ono
amontillado amõn̪t̪iʝað̞o
ate at̪e
can kãn
be be
be be
estadounidense esˌt̪að̞ou̯nið̞ẽnse
mikado mikað̞o
llama ɟ͡ʝama
llama ɟ͡ʝama
yak ɟ͡ʝak
bongo bõŋɡo
color koloɾ
color koloɾ
kiwi kiwi
pariente paɾjẽn̪t̪e
general xeneɾal
general xeneɾal
wiki wiki
tamale t̪amale
kerosene keɾosene
mundo mũn̪d̪o
banana banana
mi mi
boom bũm
sombrero sõmbɾeɾo
pi pi
